Comment,Designator,Footprint,LCSC,Quantity
0.1mF,C9,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,1
0.1mF,C7,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,1
0.1mF,C5,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,1
0.15,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
0.1mF,C12,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,1
DRV8837,U2,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,,1
0.1mF,C4,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,1
0.1mF,C6,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,1
0.1mF,C3,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,1
DRV8837,U3,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,,1
Conn_02x16_Odd_Even,J1,PinSocket_2x16_P2.54mm_Vertical,,1
DRV8837,U5,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,,1
0.1mF,C8,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,1
0.1mF,C2,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,1
INA219AxD,U1,SOIC-8_3.9x4.9mm_P1.27mm,,1
0.1mF,C10,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,1
Conn_01x02,J2,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,1
0.1mF,C13,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,1
0.1mF,C11,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,1
DRV8837,U4,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,,1
