Comment,Designator,Footprint,LCSC,Quantity
100uF,C56,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008,1
10uF,"C41,C44,C45",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850,3
1nF,"C35,C36",C_0603_1608Metric,C1588,2
10k,R19,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C17414,1
330,R28,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17630,1
1,"R26,R35",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17928,2
4.7k,R27,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17936,1
AO3400A,Q2,SOT-23,C20917,1
22uH,"L3,L4,L5",L_7.3x7.3_H4.5,C22463825,3
270,R34,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22966,1
2.2uF,"C29,C31",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C23630,2
0.82,"R29,R30,R31,R32",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C3013351,4
SS32,D3,D_SMA,C34897,1
2.2k,R33,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4190,1
AP22966DC8-7,U13,AP22966DC8-7,C441830,1
DRV8833PW,"U11,U12",TSSOP-16_4.4x5mm_P0.65mm,C50506,2
1uF,"C1,C27,C32,C33,C34",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923,5
10nF,"C28,C30",C_0603_1608Metric,C57112,2
XL1509-5.0,U14,SOIC-8_3.9x4.9mm_P1.27mm,C61063,1
100uF,"C26,C48,C49,C50",CP_EIA-3528-21_Kemet-B,C7196,4
TP4056-42-ESOP8,U15,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,C7473158,1
47uF,"C14,C15",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C96123,2
Conn_02x16_Odd_Even,,PinSocket_2x16_P2.54mm_Vertical,,0
Conn_01x02,,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,0
