Comment,Designator,Footprint,LCSC,Quantity
1k,R15,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C11702,1
2.2uF,"C28,C29,C30,C31",C_0402_1005Metric,C12530,4
22uF,"C20,C21,C22",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C12891,3
100uF,"C1,C23",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008,2
0.1uF,"C16,C17",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525,2
10uF,"C26,C27,C38,C39",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850,4
1nF,"C19,C36,C37",C_0603_1608Metric,C1588,3
47nF,C18,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1622,1
TP4056-42-ESOP8,U15,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,C16581,1
1.2uH,L2,L_Changjiang_FXL0420,C167204,1
47uF,C41,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C16780,1
0.01uF,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1710,1
150k,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17470,1
220k,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17556,1
330,R28,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17630,1
47k,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17713,1
6.8k,R16,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17772,1
68k,R6,R_0805_2012Metric,C17801,1
100k,R5,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17900,1
1,"R25,R26",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17928,2
4.7k,R27,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17936,1
20uH,L1,L_Axial_L11.0mm_D4.5mm_P5.08mm_Vertical_Fastron_MECC,C19185768,1
AO3400A,Q2,SOT-23,C20917,1
270,R34,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22966,1
10k,"R18,R19",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804,2
3.3k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C26010,1
0.82,"R29,R30,R31,R32",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C3013351,4
2.2k,R33,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4190,1
33k,R21,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4216,1
5.6k,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4382,1
AP22966DC8-7,U13,IC_AP22966DC8-7,C441830,1
DRV8833PW,"U11,U12",TSSOP-16_4.4x5mm_P0.65mm,C50506,2
1uF,"C24,C32,C33,C34,C35",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923,5
1N53xxB,D1,L_custom_SMD,C5308037,1
0.1,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C7467250,1
INA219AxD,U1,SOIC-8_3.9x4.9mm_P1.27mm,C87469,1
CH224K,U9,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,C970725,1
TPS5430DDA,U6,TI_SO-PowerPAD-8_ThermalVias,C9864,1
Conn_02x16_Odd_Even,,PinSocket_2x16_P2.54mm_Vertical,,0
Conn_01x02,,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,,0
