Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,95.4925,-111.755,0.0,top
C12,100uF,CP_EIA-3528-21_Kemet-B,100.4075,-86.395,0.0,top
C13,100uF,CP_EIA-3528-21_Kemet-B,100.4075,-90.745,0.0,top
C14,47uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,108.8425,-103.295,0.0,top
C15,47uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,108.8425,-106.645,0.0,top
C16,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,95.4925,-113.725,0.0,top
C17,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,95.4925,-115.695,0.0,top
C18,47nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,129.6425,-119.075,0.0,top
C19,1nF,C_0603_1608Metric,134.8625,-102.875,0.0,top
C20,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,108.8425,-109.995,0.0,top
C21,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,108.8425,-113.345,0.0,top
C22,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,108.8425,-116.695,0.0,top
C23,100uF,CP_EIA-3528-21_Kemet-B,100.4075,-95.095,0.0,top
C24,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,95.4925,-117.665,0.0,top
C25,100uF,CP_EIA-3528-21_Kemet-B,100.4075,-99.445,0.0,top
C26,100uF,CP_EIA-3528-21_Kemet-B,106.4025,-86.395,0.0,top
C27,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,95.4925,-119.635,0.0,top
C28,10nF,C_0603_1608Metric,134.8625,-105.385,0.0,top
C29,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,129.6425,-121.585,0.0,top
C30,10nF,C_0603_1608Metric,134.8625,-107.895,0.0,top
C31,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,129.6425,-124.095,0.0,top
C32,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,95.4925,-121.605,0.0,top
C33,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,95.4925,-123.575,0.0,top
C34,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,95.4925,-125.545,0.0,top
C35,1nF,C_0603_1608Metric,134.8625,-110.405,0.0,top
C36,1nF,C_0603_1608Metric,134.8625,-112.915,0.0,top
C37,100uF,CP_EIA-3528-21_Kemet-B,106.4025,-90.745,0.0,top
C38,100uF,CP_EIA-3528-21_Kemet-B,106.4025,-95.095,0.0,top
C39,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.4525,-103.125,0.0,top
C40,100uF,CP_EIA-3528-21_Kemet-B,106.4025,-99.445,0.0,top
C41,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.4525,-106.135,0.0,top
C42,47uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,108.8425,-120.045,0.0,top
C43,47uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,108.8425,-123.395,0.0,top
C44,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.4525,-109.145,0.0,top
C45,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.4525,-112.155,0.0,top
C46,100uF,CP_EIA-3528-21_Kemet-B,112.3975,-86.395,0.0,top
C47,47uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,108.8425,-126.745,0.0,top
C48,100uF,CP_EIA-3528-21_Kemet-B,112.3975,-90.745,0.0,top
C49,100uF,CP_EIA-3528-21_Kemet-B,112.3975,-95.095,0.0,top
C50,100uF,CP_EIA-3528-21_Kemet-B,112.3975,-99.445,0.0,top
C51,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,95.4925,-127.515,0.0,top
D3,SS32,D_SMA,133.3075,-86.495,0.0,top
D4,SS32,D_SMA,133.3075,-91.045,0.0,top
J1,Conn_02x16_Odd_Even,PinSocket_2x16_P2.54mm_Vertical,75.71,-107.84,0.0,top
J2,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,67.49,-106.24,90.0,top
J3,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,117.911,-122.285,0.0,top
L2,1.2uH,L_Changjiang_FXL0420,130.8425,-130.78,0.0,top
L3,22uH,L_7.3x7.3_H4.5,92.6625,-88.645,0.0,top
L4,22uH,L_7.3x7.3_H4.5,92.6625,-97.495,0.0,top
L5,22uH,L_7.3x7.3_H4.5,92.6625,-106.345,0.0,top
L6,22uH,L_7.3x7.3_H4.5,92.63,-78.15,0.0,top
Q2,AO3400A,SOT-23,136.6625,-130.26,0.0,top
R1,0.1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,90.9125,-112.415,0.0,top
R15,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,138.4925,-108.585,0.0,top
R16,6.8k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.8625,-94.545,0.0,top
R18,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.9925,-119.075,0.0,top
R19,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.9925,-121.585,0.0,top
R2,3.3k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,138.4925,-102.615,0.0,top
R21,33k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,90.9125,-118.995,0.0,top
R26,1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,90.9125,-122.285,0.0,top
R27,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,90.9125,-125.575,0.0,top
R28,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.8625,-97.495,0.0,top
R29,0.82,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.9925,-124.095,0.0,top
R3,3.3k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,138.4925,-104.605,0.0,top
